astro_beg,naut_beg,civ_beg,rise,set,civ_end,naut_end,astro_end
0345,0418,0448,0514,1853,1919,1950,2022
0346,0418,0449,0515,1854,1919,1950,2022
0347,0419,0450,0515,1854,1920,1950,2022
0348,0420,0450,0516,1854,1920,1950,2022
0348,0421,0451,0517,1854,1920,1951,2023
0349,0421,0452,0517,1855,1920,1951,2023
0350,0422,0453,0518,1855,1920,1951,2023
0351,0423,0453,0519,1855,1920,1951,2022
0352,0424,0454,0520,1855,1920,1951,2022
0353,0425,0455,0520,1855,1920,1951,2022
0354,0425,0456,0521,1855,1920,1951,2022
0355,0426,0457,0522,1855,1920,1950,2022
0356,0427,0457,0523,1855,1920,1950,2022
0356,0428,0458,0523,1855,1920,1950,2022
0357,0429,0459,0524,1855,1920,1950,2021
0358,0430,0500,0525,1855,1920,1950,2021
0359,0431,0501,0526,1855,1920,1950,2021
0400,0431,0501,0526,1854,1919,1949,2020
0401,0432,0502,0527,1854,1919,1949,2020
0402,0433,0503,0528,1854,1919,1949,2020
0403,0434,0504,0529,1854,1919,1948,2019
0404,0435,0505,0529,1854,1918,1948,2019
0405,0436,0505,0530,1853,1918,1948,2018
0406,0437,0506,0531,1853,1918,1947,2018
0407,0438,0507,0532,1853,1917,1947,2017
0408,0439,0508,0533,1852,1917,1946,2017
0409,0439,0509,0533,1852,1917,1946,2016
0410,0440,0509,0534,1852,1916,1945,2015
0411,0441,0510,0535,1851,1916,1945,2015
0412,0442,0511,0536,1851,1915,1944,2014
0413,0443,0512,0536,1850,1915,1944,2014
0414,0444,0513,0537,1850,1914,1943,2013
0415,0445,0513,0538,1849,1914,1943,2012
0416,0445,0514,0538,1849,1913,1942,2011
0417,0446,0515,0539,1848,1913,1941,2011
0418,0447,0516,0540,1848,1912,1941,2010
0419,0448,0516,0541,1847,1911,1940,2009
0419,0449,0517,0541,1847,1911,1939,2008
0420,0450,0518,0542,1846,1910,1938,2007
0421,0450,0519,0543,1845,1909,1938,2007
0422,0451,0519,0543,1845,1909,1937,2006
0423,0452,0520,0544,1844,1908,1936,2005
0424,0453,0521,0545,1843,1907,1935,2004
0425,0453,0521,0545,1843,1906,1934,2003
0426,0454,0522,0546,1842,1906,1934,2002
0426,0455,0523,0547,1841,1905,1933,2001
0427,0456,0524,0547,1841,1904,1932,2000
0428,0456,0524,0548,1840,1903,1931,1959
0429,0457,0525,0548,1839,1902,1930,1958
0430,0458,0525,0549,1838,1902,1929,1957
0430,0459,0526,0550,1837,1901,1928,1956
0431,0459,0527,0550,1837,1900,1927,1955
0432,0500,0527,0551,1836,1859,1926,1954
0433,0501,0528,0551,1835,1858,1925,1953
0433,0501,0529,0552,1834,1857,1925,1952
0434,0502,0529,0552,1833,1856,1924,1951
0435,0503,0530,0553,1832,1855,1923,1950
0435,0503,0530,0554,1831,1854,1922,1949
0436,0504,0531,0554,1830,1853,1921,1948
0437,0504,0532,0555,1829,1853,1920,1947
0438,0505,0532,0555,1828,1852,1919,1946
0438,0506,0533,0556,1828,1851,1918,1945
0439,0506,0533,0556,1827,1850,1917,1944
0439,0507,0534,0557,1826,1849,1916,1943
0440,0507,0534,0557,1825,1848,1915,1942
0441,0508,0535,0558,1824,1847,1913,1941
0441,0508,0535,0558,1823,1846,1912,1940
0442,0509,0536,0559,1822,1845,1911,1938
0442,0509,0536,0559,1821,1844,1910,1937
0443,0510,0537,0600,1820,1843,1909,1936
0444,0511,0537,0600,1819,1842,1908,1935
0444,0511,0538,0601,1818,1841,1907,1934
0445,0512,0538,0601,1817,1840,1906,1933
0445,0512,0539,0602,1816,1838,1905,1932
0446,0512,0539,0602,1815,1837,1904,1931
0446,0513,0540,0602,1814,1836,1903,1930
0447,0513,0540,0603,1813,1835,1902,1929
0447,0514,0541,0603,1812,1834,1901,1928
0448,0514,0541,0604,1810,1833,1900,1926
0448,0515,0541,0604,1809,1832,1859,1925
0449,0515,0542,0605,1808,1831,1858,1924
0449,0516,0542,0605,1807,1830,1857,1923
0450,0516,0543,0606,1806,1829,1856,1922
0450,0517,0543,0606,1805,1828,1855,1921
0451,0517,0544,0606,1804,1827,1854,1920
0451,0517,0544,0607,1803,1826,1853,1919
0451,0518,0544,0607,1802,1825,1852,1918
0452,0518,0545,0608,1801,1824,1851,1917
0452,0519,0545,0608,1800,1823,1849,1916
0453,0519,0546,0609,1759,1822,1848,1915
0453,0520,0546,0609,1758,1821,1847,1914
0454,0520,0547,0609,1757,1820,1846,1913
0454,0520,0547,0610,1756,1819,1845,1912
0454,0521,0547,0610,1755,1818,1845,1911
0455,0521,0548,0611,1754,1817,1844,1910
0455,0522,0548,0611,1753,1816,1843,1909
0456,0522,0549,0612,1752,1815,1842,1908
0456,0522,0549,0612,1751,1814,1841,1907
0456,0523,0549,0612,1750,1813,1840,1906
0457,0523,0550,0613,1749,1812,1839,1905
0457,0524,0550,0613,1748,1811,1838,1904
0457,0524,0551,0614,1747,1810,1837,1903
0458,0524,0551,0614,1746,1809,1836,1903
0458,0525,0551,0615,1745,1809,1835,1902
0459,0525,0552,0615,1745,1808,1834,1901
0459,0526,0552,0615,1744,1807,1833,1900
0459,0526,0553,0616,1743,1806,1833,1859
0500,0526,0553,0616,1742,1805,1832,1858
0500,0527,0554,0617,1741,1804,1831,1858
0501,0527,0554,0617,1740,1803,1830,1857
0501,0528,0554,0618,1739,1803,1829,1856
0501,0528,0555,0618,1738,1802,1829,1855
0502,0528,0555,0619,1738,1801,1828,1854
0502,0529,0556,0619,1737,1800,1827,1854
0502,0529,0556,0620,1736,1759,1826,1853
0503,0530,0557,0620,1735,1759,1826,1852
0503,0530,0557,0620,1734,1758,1825,1852
0504,0530,0557,0621,1734,1757,1824,1851
0504,0531,0558,0621,1733,1756,1824,1850
0504,0531,0558,0622,1732,1756,1823,1850
0505,0532,0559,0622,1731,1755,1822,1849
0505,0532,0559,0623,1731,1754,1822,1849
0505,0532,0600,0623,1730,1754,1821,1848
0506,0533,0600,0624,1729,1753,1820,1847
0506,0533,0601,0624,1729,1753,1820,1847
0507,0534,0601,0625,1728,1752,1819,1846
0507,0534,0601,0625,1727,1751,1819,1846
0507,0535,0602,0626,1727,1751,1818,1845
0508,0535,0602,0626,1726,1750,1818,1845
0508,0535,0603,0627,1726,1750,1817,1844
0509,0536,0603,0627,1725,1749,1817,1844
0509,0536,0604,0628,1725,1749,1816,1844
0509,0537,0604,0628,1724,1748,1816,1843
0510,0537,0605,0629,1724,1748,1815,1843
0510,0537,0605,0629,1723,1747,1815,1842
0511,0538,0606,0630,1723,1747,1815,1842
0511,0538,0606,0630,1722,1747,1814,1842
0511,0539,0607,0631,1722,1746,1814,1841
0512,0539,0607,0631,1721,1746,1814,1841
0512,0540,0607,0632,1721,1745,1813,1841
0512,0540,0608,0632,1721,1745,1813,1841
0513,0540,0608,0633,1720,1745,1813,1840
0513,0541,0609,0633,1720,1745,1813,1840
0514,0541,0609,0634,1720,1744,1812,1840
0514,0542,0610,0634,1719,1744,1812,1840
0514,0542,0610,0635,1719,1744,1812,1840
0515,0543,0611,0635,1719,1744,1812,1839
0515,0543,0611,0636,1719,1743,1812,1839
0516,0543,0611,0636,1719,1743,1811,1839
0516,0544,0612,0637,1718,1743,1811,1839
0516,0544,0612,0637,1718,1743,1811,1839
0517,0545,0613,0638,1718,1743,1811,1839
0517,0545,0613,0638,1718,1743,1811,1839
