astro_beg,naut_beg,civ_beg,rise,set,civ_end,naut_end,astro_end
0000,0012,0230,0327,2040,2137,2345,2400
0000,0023,0231,0328,2040,2136,2338,2400
0000,0031,0233,0329,2040,2136,2333,2400
0000,0037,0235,0331,2039,2135,2328,2400
0000,0043,0236,0332,2039,2134,2323,2400
0000,0049,0238,0333,2038,2133,2319,2400
0000,0054,0240,0335,2037,2132,2315,2400
0000,0059,0242,0336,2037,2131,2311,2400
0000,0104,0244,0338,2036,2129,2307,2400
0000,0108,0246,0340,2035,2128,2303,2400
0000,0113,0248,0341,2034,2127,2300,2400
0000,0117,0250,0343,2033,2125,2256,2400
0000,0122,0252,0345,2032,2124,2253,2400
0000,0126,0255,0347,2031,2122,2249,2400
0000,0130,0257,0349,2030,2121,2246,2400
0000,0134,0259,0350,2028,2119,2242,2400
0000,0139,0301,0352,2027,2118,2239,2400
0000,0143,0304,0354,2026,2116,2235,2400
0000,0147,0306,0356,2024,2114,2232,2400
0000,0151,0308,0358,2023,2112,2229,2400
0000,0155,0311,0400,2021,2110,2225,2400
0000,0158,0313,0402,2020,2108,2222,2400
0000,0202,0316,0404,2018,2106,2219,2400
0000,0206,0318,0406,2017,2104,2215,2400
0000,0210,0321,0408,2015,2102,2212,2400
0000,0213,0323,0411,2013,2100,2209,2400
0000,0217,0326,0413,2012,2058,2206,2400
0000,0221,0328,0415,2010,2056,2202,2400
0000,0224,0331,0417,2008,2054,2159,2400
0000,0228,0333,0419,2006,2052,2156,2400
0000,0231,0336,0421,2004,2050,2153,2400
0000,0235,0338,0423,2003,2047,2150,2345
0043,0238,0341,0426,2001,2045,2147,2332
0056,0242,0343,0428,1959,2043,2143,2322
0106,0245,0346,0430,1957,2040,2140,2314
0115,0249,0348,0432,1955,2038,2137,2306
0122,0252,0351,0434,1953,2036,2134,2300
0129,0255,0353,0436,1951,2033,2131,2253
0136,0258,0356,0439,1948,2031,2128,2247
0142,0301,0358,0441,1946,2028,2125,2242
0147,0305,0401,0443,1944,2026,2121,2236
0153,0308,0403,0445,1942,2024,2118,2231
0158,0311,0406,0447,1940,2021,2115,2226
0203,0314,0408,0449,1938,2019,2112,2221
0207,0317,0411,0452,1935,2016,2109,2217
0212,0320,0413,0454,1933,2014,2106,2212
0216,0323,0415,0456,1931,2011,2103,2208
0221,0326,0418,0458,1928,2008,2100,2204
0225,0329,0420,0500,1926,2006,2057,2159
0229,0331,0422,0502,1924,2003,2054,2155
0233,0334,0425,0504,1921,2001,2051,2151
0237,0337,0427,0507,1919,1958,2048,2147
0241,0340,0430,0509,1917,1956,2045,2143
0244,0343,0432,0511,1914,1953,2042,2139
0248,0345,0434,0513,1912,1951,2039,2136
0251,0348,0436,0515,1909,1948,2036,2132
0255,0351,0439,0517,1907,1945,2033,2128
0258,0353,0441,0519,1905,1943,2030,2124
0301,0356,0443,0521,1902,1940,2027,2121
0305,0358,0445,0523,1900,1938,2024,2117
0308,0401,0448,0526,1857,1935,2021,2114
0311,0403,0450,0528,1855,1932,2018,2110
0314,0406,0452,0530,1852,1930,2016,2107
0317,0408,0454,0532,1850,1927,2013,2103
0320,0411,0456,0534,1847,1924,2010,2100
0323,0413,0459,0536,1845,1922,2007,2057
0326,0415,0501,0538,1842,1919,2004,2053
0329,0418,0503,0540,1840,1917,2001,2050
