astro_beg,naut_beg,civ_beg,rise,set,civ_end,naut_end,astro_end
0304,0344,0420,0450,1917,1947,2023,2103
0305,0345,0421,0451,1918,1947,2023,2103
0306,0346,0422,0452,1918,1947,2023,2103
0307,0347,0423,0452,1918,1947,2023,2103
0308,0348,0424,0453,1918,1947,2023,2103
0309,0349,0425,0454,1918,1947,2023,2103
0310,0350,0426,0455,1918,1947,2023,2102
0311,0351,0427,0456,1918,1947,2023,2102
0312,0352,0428,0457,1918,1947,2022,2102
0314,0353,0429,0458,1917,1947,2022,2101
0315,0354,0430,0459,1917,1946,2022,2101
0316,0355,0431,0500,1917,1946,2022,2100
0317,0356,0432,0500,1917,1946,2021,2100
0319,0357,0433,0501,1917,1945,2021,2059
0320,0358,0434,0502,1916,1945,2020,2058
0321,0400,0435,0503,1916,1945,2020,2058
0323,0401,0436,0504,1916,1944,2019,2057
0324,0402,0437,0505,1915,1944,2019,2056
0325,0403,0438,0506,1915,1943,2018,2056
0327,0404,0439,0507,1914,1943,2017,2055
0328,0405,0440,0508,1914,1942,2017,2054
0330,0407,0441,0509,1913,1942,2016,2053
0331,0408,0442,0511,1913,1941,2015,2052
0332,0409,0443,0512,1912,1940,2015,2051
0334,0410,0445,0513,1912,1940,2014,2050
0335,0412,0446,0514,1911,1939,2013,2049
0337,0413,0447,0515,1910,1938,2012,2048
0338,0414,0448,0516,1910,1938,2011,2047
0339,0415,0449,0517,1909,1937,2010,2046
0341,0417,0450,0518,1908,1936,2009,2045
0342,0418,0451,0519,1908,1935,2008,2044
0344,0419,0452,0520,1907,1934,2007,2043
0345,0420,0453,0521,1906,1933,2006,2042
0347,0422,0455,0522,1905,1933,2005,2040
0348,0423,0456,0523,1904,1932,2004,2039
0349,0424,0457,0524,1903,1931,2003,2038
0351,0425,0458,0525,1903,1930,2002,2037
0352,0426,0459,0526,1902,1929,2001,2035
0353,0428,0500,0527,1901,1928,2000,2034
0355,0429,0501,0528,1900,1927,1959,2033
0356,0430,0502,0529,1859,1926,1958,2031
0358,0431,0503,0530,1858,1924,1956,2030
