astro_beg,naut_beg,civ_beg,rise,set,civ_end,naut_end,astro_end
1127,1200,1200,1200,1200,1200,1200,1242
1106,1200,1200,1200,1200,1200,1200,1304
1051,1200,1200,1200,1200,1200,1200,1320
1037,1200,1200,1200,1200,1200,1200,1335
1024,1200,1200,1200,1200,1200,1200,1349
1012,1200,1200,1200,1200,1200,1200,1402
1000,1200,1200,1200,1200,1200,1200,1415
0949,1200,1200,1200,1200,1200,1200,1427
0938,1200,1200,1200,1200,1200,1200,1439
0927,1200,1200,1200,1200,1200,1200,1451
0917,1200,1200,1200,1200,1200,1200,1502
0906,1200,1200,1200,1200,1200,1200,1514
0856,1200,1200,1200,1200,1200,1200,1525
0845,1200,1200,1200,1200,1200,1200,1536
0835,1200,1200,1200,1200,1200,1200,1548
0824,1200,1200,1200,1200,1200,1200,1559
0814,1200,1200,1200,1200,1200,1200,1610
0803,1200,1200,1200,1200,1200,1200,1622
0753,1200,1200,1200,1200,1200,1200,1633
0742,1200,1200,1200,1200,1200,1200,1644
0731,1200,1200,1200,1200,1200,1200,1656
0721,1200,1200,1200,1200,1200,1200,1707
0710,1200,1200,1200,1200,1200,1200,1719
0659,1200,1200,1200,1200,1200,1200,1731
0647,1200,1200,1200,1200,1200,1200,1743
0636,1200,1200,1200,1200,1200,1200,1755
0624,1200,1200,1200,1200,1200,1200,1807
0613,1200,1200,1200,1200,1200,1200,1820
0601,1200,1200,1200,1200,1200,1200,1832
0548,1200,1200,1200,1200,1200,1200,1845
0536,1200,1200,1200,1200,1200,1200,1858
0523,1126,1200,1200,1200,1200,1305,1912
0510,1042,1200,1200,1200,1200,1350,1926
0456,1012,1200,1200,1200,1200,1420,1941
0442,0947,1200,1200,1200,1200,1445,1956
0427,0925,1200,1200,1200,1200,1508,2012
0411,0905,1200,1200,1200,1200,1528,2028
0355,0847,1200,1200,1200,1200,1547,2046
0337,0829,1200,1200,1200,1200,1605,2105
0318,0811,1200,1200,1200,1200,1623,2126
0257,0755,1200,1200,1200,1200,1640,2150
0233,0738,1200,1200,1200,1200,1656,2218
0205,0722,1200,1200,1200,1200,1713,2256
0127,0707,1200,1200,1200,1200,1729,2400
0000,0651,1200,1200,1200,1200,1745,2400
0000,0635,1200,1200,1200,1200,1801,2400
0000,0619,1200,1200,1200,1200,1817,2400
0000,0603,1200,1200,1200,1200,1833,2400
0000,0547,1200,1200,1200,1200,1849,2400
0000,0531,1200,1200,1200,1200,1906,2400
0000,0514,1050,1200,1200,1343,1923,2400
0000,0457,1012,1200,1200,1421,1941,2400
0000,0439,0942,1200,1200,1450,1959,2400
0000,0421,0917,1200,1200,1516,2018,2400
0000,0402,0854,1200,1200,1539,2039,2400
0000,0341,0832,1200,1200,1600,2101,2400
0000,0319,0812,1200,1200,1620,2125,2400
0000,0255,0753,1200,1200,1640,2153,2400
0000,0226,0734,1200,1200,1658,2227,2400
0000,0152,0715,1200,1200,1717,2320,2400
0000,0058,0657,1200,1200,1735,2400,2400
0000,0000,0640,1200,1200,1752,2400,2400
0000,0000,0622,1200,1200,1810,2400,2400
0000,0000,0604,1137,1251,1828,2400,2400
0000,0000,0547,1036,1353,1845,2400,2400
0000,0000,0529,0959,1429,1904,2400,2400
0000,0000,0510,0929,1458,1922,2400,2400
0000,0000,0452,0903,1524,1941,2400,2400
0000,0000,0432,0840,1547,2001,2400,2400
0000,0000,0412,0818,1609,2022,2400,2400
0000,0000,0351,0757,1629,2044,2400,2400
0000,0000,0329,0737,1649,2108,2400,2400
0000,0000,0304,0718,1708,2135,2400,2400
0000,0000,0237,0700,1726,2208,2400,2400
0000,0000,0204,0641,1744,2252,2400,2400
0000,0000,0119,0623,1802,2400,2400,2400
0000,0000,0000,0605,1820,2400,2400,2400
0000,0000,0000,0547,1838,2400,2400,2400
0000,0000,0000,0528,1857,2400,2400,2400
0000,0000,0000,0510,1915,2400,2400,2400
0000,0000,0000,0451,1934,2400,2400,2400
0000,0000,0000,0431,1954,2400,2400,2400
0000,0000,0000,0411,2015,2400,2400,2400
0000,0000,0000,0350,2037,2400,2400,2400
0000,0000,0000,0328,2101,2400,2400,2400
0000,0000,0000,0304,2127,2400,2400,2400
0000,0000,0000,0237,2159,2400,2400,2400
0000,0000,0000,0205,2240,2400,2400,2400
0000,0000,0000,0124,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
0000,0000,0000,0000,2400,2400,2400,2400
